symbol,start_time,end_time,timeframe,open,high,low,close,volume,vah,val,mid,vpoc,kurtosis,skewness,profile_shape,volume_spike_ratio,hvns,lvns,untested_vpocs,vwap,profile_distribution,open_prev_profile,close_prev_profile,poor_high,poor_low
ESS,2025-03-31 21:45:00,2025-03-31 21:59:00,15min,5647.0,5647.25,5644.0,5644.25,5162.0,5646.0,5644.5,5645.625,5645.125,-1.3059473607677767,0.3816144281766003,normal,0.66,[],[],"[5539.375, 5645.125]",5645.0759,{},Above VAH,Below VAL,False,False
ESS,2025-04-01 00:00:00,2025-04-01 00:14:00,15min,5639.0,5645.75,5636.5,5642.25,3243.0,5646.0,5640.0,5641.125,5643.875,-1.0797970412747944,-0.5209745330450678,double-distro,0.38,[5637.75],[],"[5539.375, 5643.875]",5641.6494,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 00:15:00,2025-04-01 00:29:00,15min,5642.5,5643.0,5634.5,5636.5,2359.0,5641.75,5637.25,5638.75,5638.125,-0.424202954469755,-0.057316806843378386,double-distro,0.94,[5643.12],[5637.13],"[5539.375, 5643.875, 5638.125]",5638.4984,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 00:30:00,2025-04-01 00:44:00,15min,5636.25,5638.25,5632.75,5634.5,2507.0,5636.5,5633.5,5635.5,5635.125,-0.7016657864848801,0.19756716886829545,double-distro,0.77,[],[],"[5539.375, 5643.875, 5635.125]",5635.1872,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 00:45:00,2025-04-01 00:59:00,15min,5634.5,5636.5,5631.5,5635.75,2627.0,5635.25,5633.0,5634.0,5634.625,-0.027154622345352486,0.20640633597738642,normal,0.97,[],[],"[5539.375, 5643.875, 5634.625]",5633.8277,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 01:00:00,2025-04-01 01:14:00,15min,5635.5,5635.75,5628.25,5628.75,5208.0,5633.5,5629.5,5632.0,5631.375,-1.4749713587450581,0.0680165198797731,double-distro,0.43,[],[],"[5539.375, 5643.875, 5631.375]",5631.8084,{},Above VAH,Below VAL,False,False
ESS,2025-04-01 01:15:00,2025-04-01 01:29:00,15min,5629.0,5635.0,5629.0,5632.5,2815.0,5634.5,5631.75,5632.0,5633.125,-0.8438609640947936,-0.38056943685733907,P-shape,0.53,[],[5630.75],"[5539.375, 5643.875, 5633.125]",5632.7717,{},Below VAL,Within Value Area,False,False
ESS,2025-04-01 01:30:00,2025-04-01 01:44:00,15min,5632.25,5632.25,5625.25,5627.5,2687.0,5631.5,5627.0,5628.75,5629.625,-0.7708834224333367,-0.3254327295832841,normal,0.66,[],[],"[5539.375, 5643.875, 5633.125, 5629.625]",5628.5938,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 01:45:00,2025-04-01 01:59:00,15min,5627.25,5630.0,5620.25,5626.25,3735.0,5626.75,5620.5,5625.125,5622.375,-1.2402575665910294,-0.3913730889511403,double-distro,0.55,[5628.75],[5624.87],"[5539.375, 5643.875, 5633.125, 5622.375]",5624.2683,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 02:00:00,2025-04-01 02:14:00,15min,5626.0,5626.25,5619.25,5625.25,3780.0,5626.0,5622.0,5622.75,5624.875,-0.9551317452232149,-0.2879308572676458,P-shape,0.82,[5619.63],[],"[5539.375, 5643.875, 5633.125, 5624.875]",5623.3414,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 02:15:00,2025-04-01 02:29:00,15min,5625.5,5631.0,5625.0,5630.25,2460.0,5631.0,5628.5,5628.0,5629.625,3.8330590713138255,-1.501208132900802,P-shape,0.62,[],[5627.37],"[5539.375, 5643.875, 5633.125, 5629.625]",5629.1294,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 02:30:00,2025-04-01 02:44:00,15min,5630.25,5631.5,5624.25,5629.25,2575.0,5628.25,5624.5,5627.875,5626.125,-1.4487815721845374,0.24233347376165543,b-shape,0.73,[5631.37],[5627.5],"[5539.375, 5643.875, 5633.125, 5626.125]",5626.8506,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 02:45:00,2025-04-01 02:59:00,15min,5629.5,5632.25,5629.0,5631.0,2024.0,5632.25,5630.75,5630.625,5631.375,-0.12990729475667573,-0.7715229977111246,P-shape,0.58,[],[5630.25],"[5539.375, 5643.875, 5633.125, 5626.125, 5631.375]",5631.0812,{},Above VAH,Above VAH,False,False
ESS,2025-04-01 03:00:00,2025-04-01 03:14:00,15min,5631.0,5632.5,5629.25,5631.75,2230.0,5632.0,5630.25,5630.875,5631.625,-1.195913461538641,-0.05864113792695538,normal,0.64,[],[],"[5539.375, 5643.875, 5633.125, 5626.125, 5631.625]",5630.9538,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 03:15:00,2025-04-01 03:29:00,15min,5632.0,5637.5,5631.75,5636.25,2916.0,5637.0,5634.25,5634.625,5636.375,0.6849618185501472,-0.9769872581397312,P-shape,0.46,[],[5633.63],"[5539.375, 5643.875, 5626.125, 5636.375]",5635.2187,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 03:30:00,2025-04-01 03:44:00,15min,5636.0,5638.25,5635.75,5637.25,1379.0,5637.75,5636.5,5637.0,5637.125,0.1535893341678487,-0.4385372911043506,normal,0.95,[],[],"[5539.375, 5643.875, 5626.125, 5637.125]",5636.9812,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 03:45:00,2025-04-01 03:59:00,15min,5637.25,5640.75,5636.75,5640.5,2044.0,5640.75,5638.5,5638.75,5639.375,-0.8564208518758476,-0.32044185795666585,normal,1.06,[],[5638.13],"[5539.375, 5643.875, 5626.125, 5639.375]",5639.2423,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 04:00:00,2025-04-01 04:14:00,15min,5640.5,5642.0,5638.5,5639.75,1420.0,5641.0,5639.25,5640.25,5639.625,-0.7199176378048309,0.6366227135857387,normal,0.35,[],[],"[5539.375, 5643.875, 5626.125, 5639.625]",5640.1157,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 04:15:00,2025-04-01 04:29:00,15min,5639.75,5639.75,5637.0,5637.25,1527.0,5638.75,5637.5,5638.375,5637.625,0.9399860691175048,1.2312463053718419,b-shape,0.63,[],[5639.0],"[5539.375, 5643.875, 5626.125, 5637.625]",5637.9376,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 04:30:00,2025-04-01 04:44:00,15min,5637.5,5637.5,5632.5,5634.0,2519.0,5635.5,5633.25,5635.0,5634.375,0.13073800862928975,0.04318712619427523,normal,0.3,[],[5635.62],"[5539.375, 5643.875, 5626.125, 5634.375]",5634.417,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 04:45:00,2025-04-01 04:59:00,15min,5634.0,5635.75,5633.5,5633.5,1328.0,5635.25,5634.25,5634.625,5634.875,0.8777696615551545,-0.7845068309197537,normal,1.47,[],[],"[5539.375, 5643.875, 5626.125, 5634.875]",5634.6077,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 05:00:00,2025-04-01 05:14:00,15min,5633.5,5633.75,5628.0,5632.25,2079.0,5632.0,5629.5,5630.875,5630.125,-1.656566305031682,0.15263689143636272,b-shape,0.44,[],[],"[5539.375, 5643.875, 5626.125, 5634.875, 5630.125]",5630.6193,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 05:15:00,2025-04-01 05:29:00,15min,5632.25,5634.25,5630.25,5631.0,1199.0,5634.0,5632.5,5632.25,5633.375,0.12065767679346884,-0.9686095492299965,P-shape,1.23,[],[5631.88],"[5539.375, 5643.875, 5626.125, 5634.875, 5633.375]",5632.7523,{},Above VAH,Within Value Area,False,False
ESS,2025-04-01 05:30:00,2025-04-01 05:44:00,15min,5631.25,5633.25,5630.25,5630.75,912.0,5633.0,5631.0,5631.75,5632.375,-1.8652312437101524,-0.08636364442836732,double-distro,1.29,[],[5631.87],"[5539.375, 5643.875, 5626.125, 5634.875, 5632.375]",5631.6993,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 05:45:00,2025-04-01 05:59:00,15min,5630.5,5634.5,5630.25,5634.0,1016.0,5634.75,5632.5,5632.375,5633.875,-1.519611292798503,-0.3484535101627859,P-shape,0.47,[],[5632.5],"[5539.375, 5643.875, 5626.125, 5634.875, 5633.875]",5633.063,{},Below VAL,Above VAH,False,False
ESS,2025-04-01 06:00:00,2025-04-01 06:14:00,15min,5634.0,5641.5,5633.0,5640.25,3306.0,5641.75,5637.0,5637.25,5637.875,0.06087849123131761,-0.8015590005520015,double-distro,0.49,[],[5635.88],"[5539.375, 5643.875, 5626.125, 5637.875]",5637.8611,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 06:15:00,2025-04-01 06:29:00,15min,5640.25,5642.0,5639.75,5641.0,1794.0,5642.0,5641.0,5640.875,5641.625,-1.4043973873607665,0.09469518956053584,P-shape,0.51,[],[],"[5539.375, 5643.875, 5626.125, 5637.875, 5641.625]",5641.2182,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 06:30:00,2025-04-01 06:44:00,15min,5641.0,5641.5,5635.0,5635.25,1711.0,5639.0,5636.25,5638.25,5637.875,1.2500357201996515,0.6823039010697406,normal,1.07,[],[5639.38],"[5539.375, 5643.875, 5626.125, 5637.875]",5637.9946,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 06:45:00,2025-04-01 06:59:00,15min,5635.5,5636.0,5632.5,5633.5,1214.0,5635.25,5633.5,5634.25,5634.125,-1.0558158739813726,-0.28512355273532475,normal,1.03,[],[],"[5539.375, 5643.875, 5626.125, 5637.875, 5634.125]",5634.2849,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 07:00:00,2025-04-01 07:14:00,15min,5633.25,5638.0,5631.5,5635.0,2531.0,5635.5,5632.25,5634.75,5633.375,-0.9295051050196723,0.28499675387822826,b-shape,0.72,[],[],"[5539.375, 5643.875, 5626.125, 5633.375]",5634.2246,{},Below VAL,Within Value Area,False,False
ESS,2025-04-01 07:15:00,2025-04-01 07:29:00,15min,5635.0,5640.25,5634.25,5639.75,1807.0,5640.0,5637.25,5637.25,5638.875,0.2788588246040913,-0.6941289630463935,P-shape,2.6,[],[5636.5],"[5539.375, 5643.875, 5626.125, 5633.375, 5638.875]",5638.0138,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 07:30:00,2025-04-01 07:44:00,15min,5639.25,5640.75,5636.5,5640.5,2010.0,5639.75,5637.5,5638.625,5638.125,-0.6308043465640498,0.524693442853085,normal,0.55,[],[],"[5539.375, 5643.875, 5626.125, 5633.375, 5638.125]",5638.4919,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 07:45:00,2025-04-01 07:59:00,15min,5640.5,5650.75,5640.5,5649.75,5413.0,5650.75,5646.5,5645.625,5648.625,2.2764100489452206,-1.7491617496350274,P-shape,0.95,[5642.12],[5645.25],"[5539.375, 5626.125, 5633.375, 5638.125, 5648.625]",5647.3344,{},Above VAH,Above VAH,False,False
ESS,2025-04-01 08:00:00,2025-04-01 08:14:00,15min,5650.0,5661.5,5646.75,5656.0,9001.0,5661.75,5653.75,5654.125,5657.625,0.14173663741041542,-1.0769662691374329,double-distro,0.29,"[5651.12, 5649.13]",[5653.75],"[5539.375, 5626.125, 5633.375, 5638.125, 5657.625]",5655.6017,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 08:15:00,2025-04-01 08:29:00,15min,5656.25,5656.5,5645.25,5646.5,5548.0,5653.75,5647.0,5650.875,5651.125,-1.176355224828371,-0.27253038762796744,double-distro,1.41,"[5645.75, 5656.37]",[5649.38],"[5626.125, 5633.375, 5638.125, 5657.625, 5651.125]",5650.2395,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 08:30:00,2025-04-01 08:44:00,15min,5646.5,5648.5,5641.0,5641.5,4851.0,5644.75,5641.0,5644.75,5642.625,0.17863472910960265,0.9954907411426296,double-distro,0.46,[5648.12],[5644.38],"[5633.375, 5638.125, 5657.625, 5651.125, 5642.625]",5643.5599,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 08:45:00,2025-04-01 08:59:00,15min,5641.25,5644.0,5638.25,5639.75,3866.0,5643.0,5640.0,5641.125,5642.125,-1.043896627273745,-0.08334648296267594,P-shape,1.3,[],[],"[5633.375, 5657.625, 5651.125, 5642.125]",5641.2974,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 09:00:00,2025-04-01 09:14:00,15min,5640.0,5641.0,5636.75,5639.75,7061.0,5640.0,5638.0,5638.875,5638.875,1.7346682365492336,0.6998452470662527,normal,1.15,[],[],"[5633.375, 5657.625, 5651.125, 5642.125, 5638.875]",5638.8593,{},Within Value Area,Below VAL,False,False
